지점,지점명,일시,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C)
106,동해,2016-01-01,6.4,,,,9.6,8.7,,,,,,,2.2
106,동해,2016-01-02,9.8,,,,9.6,8.3,,,,,,,4.6
106,동해,2016-01-03,9.9,,,,9.7,7.8,,,,,,,4.9
106,동해,2016-01-04,8.3,,,,9.7,6,,,,,,,3.3
106,동해,2016-01-05,4.2,,,,9.7,5.7,,,,,,,.3
106,동해,2016-01-06,4.1,,,,9.7,8,,,,,,,.8
106,동해,2016-01-07,2.7,,,,9.7,8.8,,,,,,,-.2
106,동해,2016-01-08,2.1,,,,9.7,8.9,,,,,,,-1
106,동해,2016-01-09,3.1,,,,9.7,8.8,,,,,,,-.9
106,동해,2016-01-10,4.4,,,,9.8,8.3,,,,,,,.5
106,동해,2016-01-11,1.8,,,,9.8,9,,,,,,,-1.1
106,동해,2016-01-12,1,,,,9.8,8.7,,,,,,,-2.2
106,동해,2016-01-13,.9,,,,9.8,8.5,,,,,,,-2.2
106,동해,2016-01-14,.8,,,,9.8,8.9,,,,,,,-1.6
106,동해,2016-01-15,1.4,,,,9.9,8.4,,,,,,,-.8
106,동해,2016-01-16,2.6,,,,9.9,4.7,,,,,,,-.6
106,동해,2016-01-17,4.4,,,1.2,9.9,0,,,,,,,2.5
106,동해,2016-01-18,1.4,,,0,9.9,8,,,,,,,.2
106,동해,2016-01-19,-5.9,,,,9.9,9.1,,,,,,,-5.2
106,동해,2016-01-20,-2,,,,10,8.4,,,,,,,-3.3
106,동해,2016-01-21,0,,,,10,3.6,,,,,,,-1.8
106,동해,2016-01-22,.3,,,,10,7.6,,,,,,,-2.3
106,동해,2016-01-23,-4.1,,,,10.1,7.9,,,,,,,-3.2
106,동해,2016-01-24,-7.1,,,,10.1,9.2,,,,,,,-6.3
106,동해,2016-01-25,-3.1,,,,10.1,9.2,,,,,,,-4.2
106,동해,2016-01-26,2,,,,10.1,9.2,,,,,,,-1.7
106,동해,2016-01-27,4,,,,10.2,8.8,,,,,,,-.6
106,동해,2016-01-28,3.9,,,0,10.2,.2,,,,,,,.2
106,동해,2016-01-29,3.9,,,4.6,10.2,0,,,,,,,1.6
106,동해,2016-01-30,3.3,,,6.6,10.3,0,,,,,,,2
106,동해,2016-01-31,2.2,,,,10.3,8,,,,,,,1.3
106,동해,2016-02-01,.1,,,,10.3,9.1,,,,,,,-.9
106,동해,2016-02-02,-.4,,,,10.4,9.6,,,,,,,-1.9
106,동해,2016-02-03,1,,,,10.4,9.6,,,,,,,-1.3
106,동해,2016-02-04,4.9,,,,10.4,9.3,,,,,,,.2
106,동해,2016-02-05,3.5,,,,10.5,9.5,,,,,,,.6
106,동해,2016-02-06,1.1,,,9.2,10.5,5.8,,,,,,,-.8
106,동해,2016-02-07,0,,,,10.5,9.5,,,,,,,.4
106,동해,2016-02-08,2.8,,,.1,10.5,4.5,,,,,,,-.6
106,동해,2016-02-09,4.6,,,.3,10.6,9.8,,,,,,,-.1
106,동해,2016-02-10,4.2,,,,10.6,9.8,,,,,,,2.3
106,동해,2016-02-11,5.8,,,,10.7,7.4,,,,,,,3.2
106,동해,2016-02-12,8.8,,,.8,10.7,.8,,,,,,,6.1
106,동해,2016-02-13,8.4,,,5.4,10.7,0,,,,,,,7.9
106,동해,2016-02-14,3.2,,,1.4,10.8,1,,,,,,,3.3
106,동해,2016-02-15,-.7,,,,10.8,10,,,,,,,-.6
106,동해,2016-02-16,1.5,,,,10.8,8.4,,,,,,,0
106,동해,2016-02-17,3.3,,,,10.9,10.1,,,,,,,2.2
106,동해,2016-02-18,6.6,,,,10.9,6.7,,,,,,,2.2
106,동해,2016-02-19,8.1,,,.1,11,3.3,,,,,,,3.3
106,동해,2016-02-20,4.6,,,,11,6.8,,,,,,,2.9
106,동해,2016-02-21,3,,,,11,10.4,,,,,,,2.5
106,동해,2016-02-22,5,,,,11.1,5.4,,,,,,,4.6
106,동해,2016-02-23,5.6,,,1.5,11.1,8.4,,,,,,,5.7
106,동해,2016-02-24,-.1,,,19.4,11.1,2,,,,,,,1.1
106,동해,2016-02-25,2.2,,,0,11.2,9.6,,,,,,,.8
106,동해,2016-02-26,3.8,,,,11.2,10,,,,,,,.7
106,동해,2016-02-27,3.7,,,0,11.3,7,,,,,,,3.6
106,동해,2016-02-28,3.5,,,16.8,11.3,.5,,,,,,,1.6
106,동해,2016-02-29,-.3,,,,11.3,7.5,,,,,,,.4
106,동해,2016-03-01,1.3,,,,11.4,10.4,,,,,,,1.1
106,동해,2016-03-02,6.9,,,,11.4,10.1,,,,,,,3.4
106,동해,2016-03-03,8.4,,,,11.5,10.3,,,,,,,5.7
106,동해,2016-03-04,6.7,,,0,11.5,4.8,,,,,,,6.3
106,동해,2016-03-05,8.3,,,4.1,11.5,.9,,,,,,,7.4
106,동해,2016-03-06,9.4,,,0,11.6,2.5,,,,,,,9.4
106,동해,2016-03-07,8.1,,,,11.6,5.4,,,,,,,7.6
106,동해,2016-03-08,9,,,,11.7,1.2,,,,,,,7.4
106,동해,2016-03-09,2.7,,,10.9,11.7,1.2,,,,,,,3.1
106,동해,2016-03-10,1.9,,,.3,11.7,4.4,,,,,,,3.3
106,동해,2016-03-11,1.6,,,,11.8,10.8,,,,,,,2.9
106,동해,2016-03-12,4.1,,,,11.8,10.2,,,,,,,3.2
106,동해,2016-03-13,6.7,,,0,11.9,0,,,,,,,5.2
106,동해,2016-03-14,4.1,,,.4,11.9,4,,,,,,,3.2
106,동해,2016-03-15,7.5,,,,11.9,10,,,,,,,6.3
106,동해,2016-03-16,12.8,,,,12,7.4,,,,,,,11
106,동해,2016-03-17,14.1,,,,12,7.6,,,,,,,12.7
106,동해,2016-03-18,14.7,,,.5,12.1,2.4,,,,,,,11.1
106,동해,2016-03-19,11.2,,,,12.1,9.1,,,,,,,13.5
106,동해,2016-03-20,8.3,,,0,12.1,0,,,,,,,7.9
106,동해,2016-03-21,8.4,,,,12.2,10.9,,,,,,,10.8
106,동해,2016-03-22,12,,,,12.2,3.9,,,,,,,11.2
106,동해,2016-03-23,6.1,,,11.3,12.3,.1,,,,,,,7.4
106,동해,2016-03-24,5.8,,,0,12.3,4.3,,,,,,,6.8
106,동해,2016-03-25,6.3,,,.2,12.3,2.8,,,,,,,7.1
106,동해,2016-03-26,8,,,,12.4,10.8,,,,,,,10.6
106,동해,2016-03-27,10.3,,,,12.4,10.2,,,,,,,11.7
106,동해,2016-03-28,13.2,,,,12.5,10.9,,,,,,,13.6
106,동해,2016-03-29,15.9,,,,12.5,3.6,,,,,,,12.4
106,동해,2016-03-30,14.6,,,,12.5,11.1,,,,,,,16.7
106,동해,2016-03-31,15.3,,,,12.6,8.3,,,,,,,14.7
106,동해,2016-04-01,11.3,,,,12.6,10.1,,,,,,,15.5
106,동해,2016-04-02,11.8,,,,12.7,9,,,,,,,17.1
106,동해,2016-04-03,10.8,,1,2.2,12.7,0,,,,,,,11.3
106,동해,2016-04-04,11.1,,,,12.7,5.7,,,,,,,15
106,동해,2016-04-05,16.1,,,,12.8,11.4,,,,,,,17.5
106,동해,2016-04-06,14.7,,2,2.2,12.8,7.7,,,,,,,17.5
106,동해,2016-04-07,12.7,,4.2,22,12.9,4.1,,,,,,,13.9
106,동해,2016-04-08,18.3,,,,12.9,11.4,,,,,,,17.6
106,동해,2016-04-09,20.8,,,,12.9,8.2,,,,,,,18.2
106,동해,2016-04-10,9.8,,.9,2.1,13,0,,,,,,,11.9
106,동해,2016-04-11,8.7,,2.4,3.4,13,1.5,,,,,,,10.5
106,동해,2016-04-12,11.3,,,,13.1,7.5,,,,,,,14
106,동해,2016-04-13,14.9,,.5,.7,13.1,4.2,,,,,,,13.6
106,동해,2016-04-14,13.9,,,,13.1,10.8,,,,,,,18.6
106,동해,2016-04-15,12.6,,,,13.2,10,,,,,,,16.6
106,동해,2016-04-16,16.8,,2.8,7.3,13.2,4.3,,,,,,,16.8
106,동해,2016-04-17,15.9,,1.5,1.8,13.3,10.6,,,,,,,16.4
106,동해,2016-04-18,13.6,,.9,1.2,13.3,8.4,,,,,,,15.5
106,동해,2016-04-19,12,,,,13.3,11.7,,,,,,,16.6
106,동해,2016-04-20,14.3,,.3,.4,13.4,1.7,,,,,,,14.2
106,동해,2016-04-21,12.9,,2.3,15.3,13.4,1.2,,,,,,,14.7
106,동해,2016-04-22,21.2,,,,13.4,12,,,,,,,20.8
106,동해,2016-04-23,16.3,,,,13.5,1.7,,,,,,,17
106,동해,2016-04-24,13.8,,,,13.5,10.4,,,,,,,16.4
106,동해,2016-04-25,15.5,,,,13.5,11.4,,,,,,,20.1
106,동해,2016-04-26,13.5,,,,13.6,10,,,,,,,17.5
106,동해,2016-04-27,10.4,,1,2.2,13.6,0,,,,,,,12.1
106,동해,2016-04-28,10.2,,,,13.7,6.9,,,,,,,13.6
106,동해,2016-04-29,13.4,,,,13.7,12.2,,,,,,,18.3
106,동해,2016-04-30,19,,,,13.7,1.2,,,,,,,17.2
106,동해,2016-05-01,17.8,,,,13.8,9.8,,,,,,,23.3
106,동해,2016-05-02,14,,.6,.9,13.8,4.6,,,,,,,20
106,동해,2016-05-03,18.2,,.3,.9,13.8,4.9,,,,,,,19.3
106,동해,2016-05-04,18.9,,.1,.2,13.9,2.3,,,,,,,16.6
106,동해,2016-05-05,19.5,,,,13.9,11.3,,,,,,,23.9
106,동해,2016-05-06,18.6,,0,0,13.9,6.7,,,,,,,25.5
106,동해,2016-05-07,17.5,,,,14,11.6,,,,,,,
106,동해,2016-05-08,16.1,,,,14,10.9,,,,,,,23.8
106,동해,2016-05-09,16.8,,,,14,6.9,,,,,,,24.7
106,동해,2016-05-10,13.5,,2.3,20.3,14,0,,,,,,,14.2
106,동해,2016-05-11,14,,1.1,1.3,14.1,12,,,,,,,18.9
106,동해,2016-05-12,20.4,,,,14.1,12.3,,,,,,,22.9
106,동해,2016-05-13,16.1,,,,14.1,6.9,,,,,,,19.4
106,동해,2016-05-14,13.8,,,,14.2,12.6,,,,,,,21.5
106,동해,2016-05-15,13.9,,.1,.1,14.2,9.1,,,,,,,21.6
106,동해,2016-05-16,18.2,,.3,.6,14.2,9.4,,,,,,,20
106,동해,2016-05-17,21.7,,,,14.3,13,,,,,,,25.9
106,동해,2016-05-18,21.7,,,,14.3,12.7,,,,,,,27.7
106,동해,2016-05-19,18.9,,,,14.3,13,,,,,,,26.9
106,동해,2016-05-20,15.8,,,,14.3,13,,,,,,,24.7
106,동해,2016-05-21,16.7,,,,14.4,12.5,,,,,,,25.9
106,동해,2016-05-22,17.5,,,,14.4,12.3,,,,,,,26.1
106,동해,2016-05-23,17.1,,,,14.4,10.9,,,,,,,25.4
106,동해,2016-05-24,19.1,,.1,.5,14.4,1.9,,,,,,,19
106,동해,2016-05-25,20.6,,,,14.5,12.8,,,,,,,27
106,동해,2016-05-26,22,,,,14.5,2.9,,,,,,,24
106,동해,2016-05-27,19.8,,,,14.5,9.8,,,,,,,25.9
106,동해,2016-05-28,22,,,,14.5,10.6,,,,,,,29.1
106,동해,2016-05-29,21,,,,14.5,6.5,,,,,,,25.9
106,동해,2016-05-30,18,,,,14.6,12.7,,,,,,,26.5
106,동해,2016-05-31,21.4,,,,14.6,10.6,,,,,,,27.4
106,동해,2016-06-01,19.3,,,,14.6,11.9,,,,,,,29.3
106,동해,2016-06-02,18.6,,,,14.6,13.1,,,,,,,27.9
106,동해,2016-06-03,23.4,,,,14.6,11.1,,,,,,,30.6
106,동해,2016-06-04,22.3,,,,14.6,.9,,,,,,,23.9
106,동해,2016-06-05,18.2,,,,14.6,10.7,,,,,,,27.8
106,동해,2016-06-06,18.5,,.1,.2,14.7,3.3,,,,,,,23.8
106,동해,2016-06-07,19.1,,,,14.7,2.9,,,,,,,23.4
106,동해,2016-06-08,19.9,,,0,14.7,.4,,,,,,,26.3
106,동해,2016-06-09,20,,,,14.7,5.2,,,,,,,27.1
106,동해,2016-06-10,20.1,,,,14.7,12.3,,,,,,,28.7
106,동해,2016-06-11,22.6,,,,14.7,10.9,,,,,,,31.9
106,동해,2016-06-12,22.9,,0,0,14.7,2.3,,,,,,,28.8
106,동해,2016-06-13,19.3,,,,14.7,.9,,,,,,,23.4
106,동해,2016-06-14,19,,0,0,14.7,.1,,,,,,,25.1
106,동해,2016-06-15,19.5,,1.3,3.3,14.7,0,,,,,,,21.1
106,동해,2016-06-16,21.3,,,,14.8,7.1,,,,,,,24.2
106,동해,2016-06-17,26.5,,,,14.8,12.6,,,,,,,31.2
106,동해,2016-06-18,24.3,,,,14.8,12.1,,,,,,,32.7
106,동해,2016-06-19,20.6,,2.3,2.3,14.8,7.3,,,,,,,23.5
106,동해,2016-06-20,21.4,,,,14.8,5.1,,,,,,,26.5
106,동해,2016-06-21,21.3,,,,14.8,.8,,,,,,,25.4
106,동해,2016-06-22,21.2,,0,0,14.8,.3,,,,,,,23.5
106,동해,2016-06-23,22.1,,,,14.8,10.4,,,,,,,30.4
106,동해,2016-06-24,20.3,,8.7,17,14.8,.2,,,,,,,22
106,동해,2016-06-25,22.7,,0,0,14.8,5.6,,,,,,,20.2
106,동해,2016-06-26,23.7,,,,14.8,12.7,,,,,,,27.7
106,동해,2016-06-27,22.9,,,,14.8,4.5,,,,,,,26.5
106,동해,2016-06-28,20.9,,,,14.7,10.1,,,,,,,29.2
106,동해,2016-06-29,21.1,,,,14.7,6,,,,,,,28.1
106,동해,2016-06-30,22.7,,.1,.1,14.7,9.9,,,,,,,31.1
106,동해,2016-07-01,23.7,,4.2,18.9,14.7,1.6,,,,,,,26.8
106,동해,2016-07-02,22.2,,4.1,5.6,14.7,4.3,,,,,,,25.4
106,동해,2016-07-03,24,,.6,1,14.7,1.2,,,,,,,23.9
106,동해,2016-07-04,20.5,,14.6,122.9,14.7,0,,,,,,,20.3
106,동해,2016-07-05,20.5,,16.6,35,14.7,0,,,,,,,20.9
106,동해,2016-07-06,19.2,,1.3,3.8,14.7,0,,,,,,,21
106,동해,2016-07-07,19.7,,,,14.6,.1,,,,,,,21.3
106,동해,2016-07-08,21.3,,0,0,14.6,10.6,,,,,,,28
106,동해,2016-07-09,23.6,,,,14.6,12.6,,,,,,,30.5
106,동해,2016-07-10,25.5,,,,14.6,6.7,,,,,,,29.6
106,동해,2016-07-11,23.9,,,,14.6,9.1,,,,,,,32.5
106,동해,2016-07-12,23.7,,1.8,3.6,14.6,.2,,,,,,,25.4
106,동해,2016-07-13,23.6,,,,14.5,7.3,,,,,,,30.4
106,동해,2016-07-14,23.5,,17.2,35.8,14.5,2.1,,,,,,,24
106,동해,2016-07-15,23.4,,,,14.5,2.9,,,,,,,23.7
106,동해,2016-07-16,20.5,,13.5,77.9,14.5,0,,,,,,,20.3
106,동해,2016-07-17,21.5,,.3,.4,14.5,.2,,,,,,,24
106,동해,2016-07-18,22.3,,,,14.5,8.2,,,,,,,28.4
106,동해,2016-07-19,22.1,,,,14.4,0,,,,,,,23.3
106,동해,2016-07-20,22.3,,.2,.3,14.4,0,,,,,,,23.6
106,동해,2016-07-21,22.3,,,,14.4,2.7,,,,,,,24.8
106,동해,2016-07-22,22.8,,,,14.4,11.5,,,,,,,29.9
106,동해,2016-07-23,22.7,,,,14.3,4.6,,,,,,,28.5
106,동해,2016-07-24,23.6,,0,0,14.3,4.2,,,,,,,31.1
106,동해,2016-07-25,23.4,,0,0,14.3,5.4,,,,,,,29.9
106,동해,2016-07-26,25.5,,,,14.2,7.3,,,,,,,32.2
106,동해,2016-07-27,27.6,,0,0,14.2,.7,,,,,,,28.2
106,동해,2016-07-28,29.3,,0,0,14.2,9.9,,,,,,,36.2
106,동해,2016-07-29,27.6,,.3,.3,14.2,1.5,,,,,,,28
106,동해,2016-07-30,28.3,,,,14.1,10.3,,,,,,,34.4
106,동해,2016-07-31,26.5,,2,2,14.1,6.3,,,,,,,30.6
106,동해,2016-08-01,26.2,,0,0,14.1,6.7,,,,,,,30.5
106,동해,2016-08-02,25.7,,9.3,10,14.1,1.7,,,,,,,28
106,동해,2016-08-03,26.1,,,,14,10.1,,,,,,,30.9
106,동해,2016-08-04,26,,,,14,12.1,,,,,,,34
106,동해,2016-08-05,25.8,,,,14,12.7,,,,,,,34.4
106,동해,2016-08-06,25.8,,,,13.9,12.3,,,,,,,35.1
106,동해,2016-08-07,28.3,,,,13.9,10.1,,,,,,,37.4
106,동해,2016-08-08,27.5,,16.6,31.4,13.9,8.6,,,,,,,35.9
106,동해,2016-08-09,25.1,,,,13.8,6.3,,,,,,,28.1
106,동해,2016-08-10,26.3,,,,13.8,11.5,,,,,,,32.6
106,동해,2016-08-11,28.4,,,,13.8,12.2,,,,,,,36.2
106,동해,2016-08-12,28.6,,,,13.7,12.3,,,,,,,37.5
106,동해,2016-08-13,29.8,,,,13.7,12,,,,,,,39.1
106,동해,2016-08-14,29.3,,0,0,13.6,8.2,,,,,,,38.5
106,동해,2016-08-15,27.8,,,,13.6,8.6,,,,,,,36.3
106,동해,2016-08-16,27,,0,0,13.6,9.7,,,,,,,35.3
106,동해,2016-08-17,26.5,,,,13.5,9.3,,,,,,,33.9
106,동해,2016-08-18,26.9,,,,13.5,6.5,,,,,,,32.4
106,동해,2016-08-19,26.9,,,,13.5,3.1,,,,,,,32.2
106,동해,2016-08-20,26.8,,,,13.4,9.2,,,,,,,35.8
106,동해,2016-08-21,26.2,,0,0,13.4,5,,,,,,,32.4
106,동해,2016-08-22,26.3,,0,0,13.4,8,,,,,,,36.1
106,동해,2016-08-23,25.9,,,,13.3,11,,,,,,,35.2
106,동해,2016-08-24,25.9,,,,13.3,5.6,,,,,,,33.1
106,동해,2016-08-25,26.6,,0,0,13.3,8.3,,,,,,,34.1
106,동해,2016-08-26,19.9,,,,13.2,4.5,,,,,,,23
106,동해,2016-08-27,21.2,,,,13.2,5.5,,,,,,,23.9
106,동해,2016-08-28,19.6,,13.2,47.6,13.1,0,,,,,,,20.1
106,동해,2016-08-29,18.4,,17,44.2,13.1,0,,,,,,,17.9
106,동해,2016-08-30,19.8,,.7,3.6,13.1,.2,,,,,,,20.3
106,동해,2016-08-31,22.9,,.1,.2,13,0,,,,,,,18.5
106,동해,2016-09-01,25,,,,13,7.5,,,,,,,23.3
106,동해,2016-09-02,21.5,,3.1,7.4,12.9,0,,,,,,,21.5
106,동해,2016-09-03,22.1,,7.9,20.5,12.9,.3,,,,,,,21.9
106,동해,2016-09-04,23,,.1,.2,12.9,3.3,,,,,,,26.1
106,동해,2016-09-05,22.4,,1.9,3.1,12.8,0,,,,,,,24.2
106,동해,2016-09-06,23.1,,,,12.8,3.6,,,,,,,24.7
106,동해,2016-09-07,22.5,,12.7,12.7,12.8,4.8,,,,,,,24.6
106,동해,2016-09-08,21.6,,.8,1.7,12.7,4.1,,,,,,,23.4
106,동해,2016-09-09,21.4,,2.6,4,12.7,5.8,,,,,,,22.8
106,동해,2016-09-10,22,,1.8,2.9,12.6,2.3,,,,,,,23.6
106,동해,2016-09-11,22.3,,.2,.3,12.6,2.2,,,,,,,25.3
106,동해,2016-09-12,20.9,,1.8,5.6,12.6,0,,,,,,,21.6
106,동해,2016-09-13,20.9,,.1,.2,12.5,2.7,,,,,,,23.5
106,동해,2016-09-14,21.2,,,,12.5,3,,,,,,,22.5
106,동해,2016-09-15,21.4,,,,12.4,8.9,,,,,,,26.9
106,동해,2016-09-16,22.9,,,,12.4,5.2,,,,,,,25.3
106,동해,2016-09-17,19.4,,3.6,25.8,12.4,0,,,,,,,19.4
106,동해,2016-09-18,20.8,,.1,.1,12.3,1.8,,,,,,,21.4
106,동해,2016-09-19,20.4,,,,12.3,.8,,,,,,,20
106,동해,2016-09-20,19.3,,,,12.2,8.5,,,,,,,21.8
106,동해,2016-09-21,18.9,,,,12.2,7.5,,,,,,,23.2
